Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-5223;      Sonstige Dienstleistungen für die Luftfahrt;642;5392;2579;256;.;.;-;.;1338;.;.;.;.;.;.;.;-
WZ08-5224;      Frachtumschlag;306;2185;1111;101;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-5229;      Sonstige Dienstleistungen für den Verkehr a.n.g.;14868;63700;43590;977;.;.;-;.;2521;.;.;.;.;.;.;.;-
WZ08-53;  Post-, Kurier- und Expressdienste;14988;27316;8715;208;.;.;-;.;1060;.;.;.;.;.;.;.;-
WZ08-531;    Postdienste von Universaldienstleistungsanbietern;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-532;    Sonstige Post-, Kurier- und Expressdienste;14988;27316;8715;208;.;.;-;.;1060;.;.;.;.;.;.;.;-
WZ08-I;Gastgewerbe;234532;51280;1396;915;.;.;-;.;5122;.;.;.;.;.;.;.;-
WZ08-55;  Beherbergung;46546;16845;421;473;.;.;-;.;2661;.;.;.;.;.;.;.;-
WZ08-551;    Hotels, Gasthöfe und Pensionen;32121;14964;368;447;.;.;-;.;2286;.;.;.;.;.;.;.;-
WZ08-552;    Ferienunterkünfte u. ähnliche Beherbergungsstätten;11321;1324;19;19;.;.;-;.;223;.;.;.;.;.;.;.;-
WZ08-553;    Campingplätze;1584;334;33;3;.;.;-;.;72;.;.;.;.;.;.;.;-
WZ08-559;    Sonstige Beherbergungsstätten;1520;224;2;4;.;.;-;.;81;.;.;.;.;.;.;.;-
WZ08-56;  Gastronomie;187986;34434;975;442;.;.;-;.;2460;.;.;.;.;.;.;.;-
WZ08-561;    Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;136091;24483;678;159;.;.;-;.;1912;.;.;.;.;.;.;.;-
WZ08-562;    Caterer und sonstige Verpflegungsdienstleistungen;16441;6468;187;261;.;.;-;.;373;.;.;.;.;.;.;.;-
WZ08-5621;      Event-Caterer;7749;1913;52;99;.;.;-;.;116;.;.;.;.;.;.;.;-
WZ08-5629;      Erbringung sonstiger Verpflegungsdienstleistungen;8691;4555;135;162;.;.;-;.;256;.;.;.;.;.;.;.;-
WZ08-563;    Ausschank von Getränken;35454;3483;111;21;.;.;-;.;175;.;.;.;.;.;.;.;-
WZ08-J;Information und Kommunikation;130010;175148;79947;1035;.;.;-;.;14885;.;.;.;.;.;.;.;-
WZ08-58;  Verlagswesen;7925;18082;5730;66;.;.;-;.;410;.;.;.;.;.;.;.;-
WZ08-581;    Verlegen von Büchern usw., sonstiges Verlagswesen;6422;16620;5036;63;.;.;-;.;379;.;.;.;.;.;.;.;-
WZ08-5811;      Verlegen von Büchern;1702;3050;1121;10;.;.;-;.;57;.;.;.;.;.;.;.;-
WZ08-5812;      Verlegen von Adressbüchern und Verzeichnissen;208;620;162;1;.;.;-;.;5;.;.;.;.;.;.;.;-
WZ08-5813;      Verlegen von Zeitungen;565;7361;1698;31;.;.;-;.;203;.;.;.;.;.;.;.;-
WZ08-5814;      Verlegen von Zeitschriften;1993;4175;1373;14;.;.;-;.;65;.;.;.;.;.;.;.;-
WZ08-5819;      Sonstiges Verlagswesen (ohne Software);1954;1415;683;7;.;.;-;.;49;.;.;.;.;.;.;.;-
WZ08-582;    Verlegen von Software;1503;1462;693;3;.;.;-;.;31;.;.;.;.;.;.;.;-
WZ08-5821;      Verlegen von Computerspielen;96;368;97;1;.;.;-;.;5;.;.;.;.;.;.;.;-
WZ08-5829;      Verlegen von sonstiger Software;1408;1094;596;2;.;.;-;.;25;.;.;.;.;.;.;.;-
WZ08-59;  Film, TV-Programme, Kinos, Tonstudios, Musikverlag;11675;6837;3198;19;.;.;-;.;267;.;.;.;.;.;.;.;-
WZ08-591;    Film, TV-Programme, Verleih, Vertrieb, Kinos;9446;5146;2354;12;.;.;-;.;238;.;.;.;.;.;.;.;-
WZ08-5911;      H.v. Filmen, Videofilmen und Fernsehprogrammen;7064;3494;1738;9;.;.;-;.;115;.;.;.;.;.;.;.;-
WZ08-5912;      Nachbearbeitung und sonstige Filmtechnik;1299;255;96;.;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-5913;      Filmverleih und -vertrieb (ohne Videotheken);250;489;222;.;.;.;-;.;5;.;.;.;.;.;.;.;-
WZ08-5914;      Kinos;834;907;297;2;.;.;-;.;100;.;.;.;.;.;.;.;-
WZ08-592;    Tonstudios, Musikverlag u.Ä.;2228;1691;844;7;.;.;-;.;29;.;.;.;.;.;.;.;-
WZ08-60;  Rundfunkveranstalter;431;11563;5117;36;.;.;-;.;305;.;.;.;.;.;.;.;-
WZ08-601;    Hörfunkveranstalter;248;1047;211;1;.;.;-;.;43;.;.;.;.;.;.;.;-
WZ08-602;    Fernsehveranstalter;183;10516;4906;35;.;.;-;.;262;.;.;.;.;.;.;.;-
WZ08-61;  Telekommunikation;3231;50849;22778;152;.;.;-;.;7500;.;.;.;.;.;.;.;-
WZ08-611;    Leitungsgebundene Telekommunikation;600;31125;11036;72;.;.;-;.;5392;.;.;.;.;.;.;.;-
WZ08-612;    Drahtlose Telekommunikation;274;10180;5894;58;.;.;-;.;1768;.;.;.;.;.;.;.;-
WZ08-613;    Satellitentelekommunikation;49;312;232;.;.;.;-;.;9;.;.;.;.;.;.;.;-
WZ08-619;    Sonstige Telekommunikation;2308;9232;5617;.;.;.;-;.;330;.;.;.;.;.;.;.;-
WZ08-62;  Dienstleistungen der Informationstechnologie;93335;77761;39365;636;.;.;-;.;5653;.;.;.;.;.;.;.;-
WZ08-6201;      Programmierungstätigkeiten;39449;34237;18200;175;.;.;-;.;2002;.;.;.;.;.;.;.;-
WZ08-6202;      Beratungsleistungen der Informationstechnologie;33482;15222;8576;87;.;.;-;.;873;.;.;.;.;.;.;.;-
WZ08-6203;      Betrieb von Datenverarbeitungseinrichtungen;2712;6570;3925;36;.;.;-;.;1428;.;.;.;.;.;.;.;-
WZ08-6209;      Sonstige Dienstleist. der Informationstechnologie;17691;21731;8663;338;.;.;-;.;1350;.;.;.;.;.;.;.;-
WZ08-63;  Informationsdienstleistungen;13412;10057;3760;127;.;.;-;.;751;.;.;.;.;.;.;.;-
WZ08-631;    Datenverarbeitung, Hosting u.Ä., Webportale;4343;8258;2952;108;.;.;-;.;668;.;.;.;.;.;.;.;-
WZ08-6311;      Datenverarbeitung, Hosting, verb. Tätigkeiten;2077;3931;1457;82;.;.;-;.;586;.;.;.;.;.;.;.;-
WZ08-6312;      Webportale;2266;4327;1495;27;.;.;-;.;82;.;.;.;.;.;.;.;-
WZ08-639;    Sonstige Informationsdienstleistungen;9070;1799;807;19;.;.;-;.;82;.;.;.;.;.;.;.;-
WZ08-6391;      Korrespondenz- und Nachrichtenbüros;818;185;40;0;.;.;-;.;9;.;.;.;.;.;.;.;-
WZ08-6399;      Sonstige Informationsdienstleistungen a.n.g.;8251;1614;768;18;.;.;-;.;73;.;.;.;.;.;.;.;-
WZ08-K;Erbringung von Finanz- und Versicherungsleistungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-64;  Erbringung von Finanzdienstleistungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-641;    Zentralbanken und Kreditinstitute;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6411;      Zentralbanken;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6419;      Kreditinstitute (ohne Spezialkreditinstitute);-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-642;    Beteiligungsgesellschaften;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-643;    Treuhand- u.sonst. Fonds u.ä. Finanzinstitutionen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-649;    Sonstige Finanzierungsinstitutionen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6491;      Institutionen für Finanzierungsleasing;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6492;      Spezialkreditinstitute;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6499;      Sonstige Finanzdienstleistungen a.n.g.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-65;  Versicherungen, Rückversicherungen, Pensionskassen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-651;    Versicherungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6511;      Lebensversicherungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-6512;      Nichtlebensversicherungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-652;    Rückversicherungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-653;    Pensionskassen und Pensionsfonds;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-66;  Mit Finanz- u. Versicherungsdienstl. verb. Tätigk.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-L;Grundstücks- und Wohnungswesen;167054;53268;19404;102;.;.;-;.;50466;.;.;.;.;.;.;.;-
WZ08-68;  Grundstücks- und Wohnungswesen;167054;53268;19404;102;.;.;-;.;50466;.;.;.;.;.;.;.;-
WZ08-681;    Kauf u.Verk. v.eig.Grundst.,Gebäuden und Wohnungen;7646;8150;3501;4;.;.;-;.;3366;.;.;.;.;.;.;.;-
WZ08-682;    Verm.u.Verp. v.eig.Grundst.,Gebäuden und Wohnungen;98040;32490;11357;57;.;.;-;.;42293;.;.;.;.;.;.;.;-
WZ08-683;    Vermittl.u.Verw. v.Grundst., Gebäuden u. Wohnungen;61368;12628;4545;41;.;.;-;.;4807;.;.;.;.;.;.;.;-
WZ08-6831;      Vermittl.v. Grundstücken, Gebäuden und Wohnungen;31347;4727;1293;9;.;.;-;.;855;.;.;.;.;.;.;.;-
WZ08-6832;      Verw.v. Grundstücken, Gebäuden und Wohnungen;30021;7901;3253;31;.;.;-;.;3952;.;.;.;.;.;.;.;-
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;500226;148120;55577;851;.;.;-;.;9889;.;.;.;.;.;.;.;-
WZ08-69;  Rechts- und Steuerberatung, Wirtschaftsprüfung;123671;17115;3406;72;.;.;-;.;961;.;.;.;.;.;.;.;-
WZ08-691;    Rechtsberatung;63541;7706;1571;27;.;.;-;.;332;.;.;.;.;.;.;.;-
WZ08-692;    Wirtschaftsprüfung und Steuerberatung, Buchführung;60130;9408;1836;46;.;.;-;.;629;.;.;.;.;.;.;.;-
WZ08-70;  Verwaltung u.Führung v.Untern., Untern.beratung;108294;45840;12781;219;.;.;-;.;3206;.;.;.;.;.;.;.;-
WZ08-701;    Verwaltung u.Führung v.Unternehmen u.Betrieben;21577;31695;6190;157;.;.;-;.;2599;.;.;.;.;.;.;.;-
WZ08-702;    Public-Relations- und Unternehmensberatung;86717;14145;6591;62;.;.;-;.;606;.;.;.;.;.;.;.;-
WZ08-7021;      Public-Relations-Beratung;3645;997;388;1;.;.;-;.;28;.;.;.;.;.;.;.;-
WZ08-7022;      Unternehmensberatung;83072;13148;6203;62;.;.;-;.;578;.;.;.;.;.;.;.;-
WZ08-71;  Architektur-,Ing.büros,techn.,physik.Untersuchung;128229;38994;15347;305;.;.;-;.;2523;.;.;.;.;.;.;.;-
WZ08-711;    Architektur- und Ingenieurbüros;121286;34236;13564;256;.;.;-;.;1990;.;.;.;.;.;.;.;-
WZ08-7111;      Architekturbüros;39648;4578;1580;13;.;.;-;.;287;.;.;.;.;.;.;.;-
WZ08-7112;      Ingenieurbüros;81638;29658;11984;243;.;.;-;.;1703;.;.;.;.;.;.;.;-
WZ08-712;    Technische,physikalische u. chemische Untersuchung;6944;4758;1782;49;.;.;-;.;533;.;.;.;.;.;.;.;-
WZ08-72;  Forschung und Entwicklung;7770;11711;3403;158;.;.;-;.;1972;.;.;.;.;.;.;.;-
WZ08-721;    Forschg.u.Entwicklg. in Natur-u.ä. Wissenschaften;6619;11442;3367;158;.;.;-;.;1952;.;.;.;.;.;.;.;-
WZ08-7211;      Forschung und Entwicklung in Biotechnologie;877;1835;397;10;.;.;-;.;203;.;.;.;.;.;.;.;-
WZ08-7219;      Sonstige Forschg.u.Entwicklg. von Naturwiss. u.Ä.;5741;9607;2970;148;.;.;-;.;1749;.;.;.;.;.;.;.;-
WZ08-722;    Forschg.u.Entwicklg. in Geisteswissenschaften;1151;269;36;0;.;.;-;.;20;.;.;.;.;.;.;.;-
WZ08-73;  Werbung und Marktforschung;33029;20036;12379;58;.;.;-;.;556;.;.;.;.;.;.;.;-
WZ08-731;    Werbung;31590;18465;11608;55;.;.;-;.;514;.;.;.;.;.;.;.;-
WZ08-7311;      Werbeagenturen;29556;12611;7675;42;.;.;-;.;317;.;.;.;.;.;.;.;-
WZ08-7312;      Vermarktung u.Vermittlung v.Werbezeiten u.-flächen;2034;5855;3933;13;.;.;-;.;197;.;.;.;.;.;.;.;-
WZ08-732;    Markt- und Meinungsforschung;1438;1570;771;3;.;.;-;.;43;.;.;.;.;.;.;.;-
WZ08-74;  Sonst. freiberufl.,wissenschaftl. u. techn.Tätigk.;88163;12912;7697;36;.;.;-;.;545;.;.;.;.;.;.;.;-
WZ08-741;    Ateliers für Textil-,Schmuck-,Grafik- u.ä. Design;29580;2150;824;5;.;.;-;.;101;.;.;.;.;.;.;.;-
WZ08-742;    Fotografie und Fotolabors;12934;969;178;1;.;.;-;.;92;.;.;.;.;.;.;.;-
WZ08-743;    Übersetzen und Dolmetschen;9888;517;245;1;.;.;-;.;13;.;.;.;.;.;.;.;-
WZ08-749;    Sonstige freiberufl.,wiss.u.techn.Tätigk. a.n.g.;35760;9275;6450;30;.;.;-;.;339;.;.;.;.;.;.;.;-
WZ08-75;  Veterinärwesen;11070;1514;565;1;.;.;-;.;126;.;.;.;.;.;.;.;-
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;221234;114102;66997;1130;.;.;-;.;32129;.;.;.;.;.;.;.;-
WZ08-77;  Vermietung von beweglichen Sachen;25641;27119;18100;165;.;.;-;.;26394;.;.;.;.;.;.;.;-
WZ08-771;    Vermietung von Kraftwagen;5227;16685;13689;64;.;.;-;.;19119;.;.;.;.;.;.;.;-
WZ08-7711;      Vermietung von Kraftwagen m.Gesamtgewicht bis 3,5t;3871;15851;13354;62;.;.;-;.;18189;.;.;.;.;.;.;.;-
WZ08-7712;      Vermietung von Kraftwagen m.Gesamtgewicht üb. 3,5t;1356;834;335;2;.;.;-;.;930;.;.;.;.;.;.;.;-
WZ08-772;    Vermietung von Gebrauchsgütern;4621;2286;924;37;.;.;-;.;1040;.;.;.;.;.;.;.;-
WZ08-7721;      Vermietung von Sport- und Freizeitgeräten;770;.;.;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-7722;      Videotheken;264;.;.;.;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-7729;      Vermietung von sonstigen Gebrauchsgütern;3586;1995;732;36;.;.;-;.;1016;.;.;.;.;.;.;.;-
WZ08-773;    Vermiet.v.Maschinen,Geräten u.sonst.bewegl.Sachen;15230;6965;2490;63;.;.;-;.;6191;.;.;.;.;.;.;.;-
WZ08-7731;      Vermietung von landwirtschaftl.Maschinen u.Geräten;1167;271;77;0;.;.;-;.;129;.;.;.;.;.;.;.;-
WZ08-7732;      Vermietung von Baumaschinen und -geräten;5528;2466;661;28;.;.;-;.;1784;.;.;.;.;.;.;.;-
WZ08-7733;      Vermietung v.Büromasch.,DV-Gerät.u.-Einrichtungen;248;294;144;1;.;.;-;.;499;.;.;.;.;.;.;.;-
WZ08-7734;      Vermietung von Wasserfahrzeugen;622;163;54;17;.;.;-;.;33;.;.;.;.;.;.;.;-
WZ08-7735;      Vermietung von Luftfahrzeugen;341;340;229;0;.;.;-;.;246;.;.;.;.;.;.;.;-
WZ08-7739;      Vermiet.v.sonst.Masch.,Gerät.u.bewegl.Sachen a.n.g;7324;3431;1324;17;.;.;-;.;3500;.;.;.;.;.;.;.;-
WZ08-774;    Leasing n.finanz.immat. Vermög.gegenst.(oh.Copyr.);564;1183;998;1;.;.;-;.;43;.;.;.;.;.;.;.;-
WZ08-78;  Vermittlung und Überlassung von Arbeitskräften;9345;5846;2405;75;.;.;-;.;298;.;.;.;.;.;.;.;-
WZ08-781;    Vermittlung von Arbeitskräften;3807;1397;844;10;.;.;-;.;28;.;.;.;.;.;.;.;-
WZ08-782;    Befristete Überlassung von Arbeitskräften;4617;3706;1291;58;.;.;-;.;239;.;.;.;.;.;.;.;-
WZ08-783;    Sonstige Überlassung von Arbeitskräften;921;742;271;7;.;.;-;.;31;.;.;.;.;.;.;.;-
WZ08-79;  Reisebüros, -veranstalter u. sonst. Reservierungen;13145;27408;21571;28;.;.;-;.;286;.;.;.;.;.;.;.;-
WZ08-791;    Reisebüros und Reiseveranstalter;11585;25419;20271;23;.;.;-;.;251;.;.;.;.;.;.;.;-
WZ08-7911;      Reisebüros;8862;5432;3799;15;.;.;-;.;74;.;.;.;.;.;.;.;-
WZ08-7912;      Reiseveranstalter;2722;19987;16472;8;.;.;-;.;177;.;.;.;.;.;.;.;-
WZ08-799;    Erbringung sonstiger Reservierungsdienstleistungen;1560;1988;1299;5;.;.;-;.;35;.;.;.;.;.;.;.;-
WZ08-80;  Wach- und Sicherheitsdienste sowie Detekteien;6237;2388;1247;29;.;.;-;.;137;.;.;.;.;.;.;.;-
WZ08-801;    Private Wach- und Sicherheitsdienste;4669;2026;1092;24;.;.;-;.;115;.;.;.;.;.;.;.;-
WZ08-802;    Sicherheitsdienste m.Überwachungs- u.Alarmsystemen;665;295;134;2;.;.;-;.;19;.;.;.;.;.;.;.;-
WZ08-803;    Detekteien;902;67;21;3;.;.;-;.;3;.;.;.;.;.;.;.;-
WZ08-81;  Gebäudebetreuung, Garten- und Landschaftsbau;109702;19961;7025;340;.;.;-;.;3021;.;.;.;.;.;.;.;-
WZ08-811;    Hausmeisterdienste;31617;3564;1568;52;.;.;-;.;884;.;.;.;.;.;.;.;-
WZ08-812;    Reinigung von Gebäuden, Straßen, Verkehrsmitteln;41470;10413;3579;269;.;.;-;.;1168;.;.;.;.;.;.;.;-
WZ08-8121;      Allgemeine Gebäudereinigung;25577;7840;2879;161;.;.;-;.;806;.;.;.;.;.;.;.;-
WZ08-8122;      Spezielle Reinigung von Gebäuden und Maschinen;11031;1771;491;101;.;.;-;.;254;.;.;.;.;.;.;.;-
WZ08-8129;      Reinigung a.n.g.;4863;803;210;8;.;.;-;.;108;.;.;.;.;.;.;.;-
WZ08-813;    Garten-, Landschaftsbau, sonst.gärtn.Dienstleistg.;36615;5984;1879;19;.;.;-;.;970;.;.;.;.;.;.;.;-
WZ08-82;  Dienstleistungen für Unternehmen u.Privatpers. ang;57163;31381;16649;493;.;.;-;.;1993;.;.;.;.;.;.;.;-
WZ08-821;    Sekretariats- und Schreibdienste, Copy-Shops;8848;441;170;7;.;.;-;.;22;.;.;.;.;.;.;.;-
WZ08-8211;      Allgemeine Sekretariats- und Schreibdienste;6629;241;88;6;.;.;-;.;15;.;.;.;.;.;.;.;-
WZ08-8219;      Copy-Shops,Dok.vorbereit.,spez.Sekretariatsdienste;2220;200;82;1;.;.;-;.;7;.;.;.;.;.;.;.;-
WZ08-822;    Call Center;950;2842;1377;134;.;.;-;.;124;.;.;.;.;.;.;.;-
WZ08-823;    Messe-, Ausstellungs- und Kongressveranstalter;7465;5425;2999;49;.;.;-;.;594;.;.;.;.;.;.;.;-
WZ08-829;    Sonstige Dienstleistungen f.Untern. u.Privatpers.;39899;22673;12103;303;.;.;-;.;1253;.;.;.;.;.;.;.;-
WZ08-8291;      Inkassobüros und Auskunfteien;1048;2450;1342;24;.;.;-;.;84;.;.;.;.;.;.;.;-
WZ08-8292;      Abfüllen und Verpacken;1268;2013;696;90;.;.;-;.;103;.;.;.;.;.;.;.;-
WZ08-8299;      Sonst. Dienstleistg. f.Untern.u.Privatpers. a.n.g.;37583;18210;10065;190;.;.;-;.;1067;.;.;.;.;.;.;.;-
WZ08-P;Erziehung und Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-85;  Erziehung und Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-851;    Kindergärten und Vorschulen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-852;    Grundschulen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-853;    Weiterführende Schulen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8531;      Allgemein bildende weiterführende Schulen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8532;      Berufsbildende weiterführende Schulen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-854;    Tertiärer u.post-sekundärer, nicht tert.Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8541;      Post-sekundärer, nicht tertiärer Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8542;      Tertiärer Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-855;    Sonstiger Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8551;      Sport- und Freizeitunterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8552;      Kulturunterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8553;      Fahr- und Flugschulen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8559;      Sonstiger Unterricht a.n.g.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-856;    Erbringung von Dienstleistungen für den Unterricht;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-Q;Gesundheits- und Sozialwesen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-86;  Gesundheitswesen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-861;    Krankenhäuser;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-862;    Arzt- und Zahnarztpraxen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8621;      Arztpraxen für Allgemeinmedizin;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8622;      Facharztpraxen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8623;      Zahnarztpraxen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-869;    Gesundheitswesen a.n.g.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-87;  Heime (ohne Erholungs- und Ferienheime);-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-871;    Pflegeheime;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-872;    Stationäre Einrichtungen z.psychosoz.Betreuung usw;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-873;    Altenheime, Alten- und Behindertenwohnheime;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-879;    Sonstige Heime (ohne Erholungs- und Ferienheime);-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-88;  Sozialwesen (ohne Heime);-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-881;    Soziale Betreuung älterer Menschen und Behinderter;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-889;    Sonstiges Sozialwesen (ohne Heime);-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8891;      Tagesbetreuung von Kindern;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-8899;      Sonstiges Sozialwesen a.n.g.;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-R;Kunst, Unterhaltung und Erholung;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-90;  Kreative,künstlerische u.unterhaltende Tätigkeiten;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9001;      Darstellende Kunst;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9002;      Dienstleistungen für die darstellende Kunst;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9003;      Künstlerisches und schriftstellerisches Schaffen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9004;      Betrieb von Kultur- und Unterhaltungseinrichtungen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-91;  Bibliotheken, Archive, Museen, bot. u. zoo. Gärten;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9101;      Bibliotheken und Archive;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9102;      Museen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9103;      Historischen Stätten u. Gebäude u.ä. Attraktionen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9104;      Botanische und zoologische Gärten sowie Naturparks;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-92;  Spiel-, Wett- und Lotteriewesen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-93;  Dienstleistungen d.Sports,d.Unterhaltg.u.Erholung;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-931;    Erbringung von Dienstleistungen des Sports;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9311;      Betrieb von Sportanlagen;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9312;      Sportvereine;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9313;      Fitnesszentren;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-9319;      Erbringung von sonst. Dienstleistungen des Sports;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
